artigo,frente,verso
Art. 1,Sobre o que dispõe o Art. 1 da CF/88?,"o A República Federativa do Brasil, formada pela união indissolúvel dos Estados 
e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e 
tem como fundamentos:
I – a soberania;
II – a cidadania;
III – a dignidade da pessoa humana;
IV – os valores sociais do trabalho e da livre iniciativa;
V – o pluralismo político"
Art. 1,"Complete a ideia do Art. 1: o A República Federativa do Brasil, formada pela u...","o A República Federativa do Brasil, formada pela união indissolúvel dos Estados 
e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e 
tem como fundamentos:
I – a sobera..."
Art. 2,Sobre o que dispõe o Art. 2 da CF/88?,"o São Poderes da União, independentes e harmônicos entre si, o Legislativo, o 
Executivo e o Judiciário"
Art. 2,"Complete a ideia do Art. 2: o São Poderes da União, independentes e harmônicos...","o São Poderes da União, independentes e harmônicos entre si, o Legislativo, o 
Executivo e o Judiciário."
Art. 3,Sobre o que dispõe o Art. 3 da CF/88?,"o Constituem objetivos fundamentais da República Federativa do Brasil:
I – construir uma sociedade livre, justa e solidária;
II – garantir o desenvolvimento nacional;
III – erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e 
regionais;
IV – promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade 
e quaisquer outras formas de discriminação"
Art. 3,Complete a ideia do Art. 3: o Constituem objetivos fundamentais da República F...,"o Constituem objetivos fundamentais da República Federativa do Brasil:
I – construir uma sociedade livre, justa e solidária;
II – garantir o desenvolvimento nacional;
III – erradicar a pobreza e a mar..."
Art. 4,Sobre o que dispõe o Art. 4 da CF/88?,"o A República Federativa do Brasil rege-se nas suas relações internacionais pelos 
seguintes princípios:
I – independência nacional;
II – prevalência dos direitos humanos;
III – autodeterminação dos povos;
IV – não-intervenção;
V – igualdade entre os Estados;
VI – defesa da paz;
VII – solução pacífica dos conflitos;
VIII – repúdio ao terrorismo e ao racismo;
IX – cooperação entre os povos para o progresso da humanidade;
X – concessão de asilo político"
Art. 4,Complete a ideia do Art. 4: o A República Federativa do Brasil rege-se nas sua...,"o A República Federativa do Brasil rege-se nas suas relações internacionais pelos 
seguintes princípios:
I – independência nacional;
II – prevalência dos direitos humanos;
III – autodeterminação dos p..."
Art. 5,Sobre o que dispõe o Art. 5 da CF/88?,"o Todos são iguais perante a lei, sem distinção de qualquer natureza, garantin-
do-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito 
à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: 
(EC n o 45/2004)
I – homens e mulheres são iguais em direitos e obrigações, nos termos desta 
Constituição;
II – ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em 
virtude de lei;
III – ninguém será submetido a tortura nem a tratamento desumano ou degradante;
IV – é livre a manifestação do pensamento, sendo vedado o anonimato;
V – é assegurado o direito de resposta, proporcional ao agravo, além da indenização 
por dano material, moral ou à imagem;
VI – é inviolável a liberdade de consciência e de crença, sendo assegurado o livre 
exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto 
e a suas liturgias;
VII – é assegurada, nos termos da lei, a prestação de assistência religiosa nas en-
tidades civis e militares de internação coletiva;
VIII – ninguém será privado de direitos por motivo de crença religiosa ou de 
convicção filosófica ou política, salvo se as invocar para eximir-se de obrigação legal a 
todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei;
IX – é livre a expressão da atividade intelectual, artística, científica e de comuni-
cação, independentemente de censura ou licença;
X – são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, as-
segurado o direito a indenização pelo dano material ou moral decorrente de sua violação;
XI – a casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem 
consentimento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar 
socorro, ou, durante o dia, por determinação judicial;
XII – é inviolável o sigilo da correspondência e das comunicações telegráficas, de 
dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas 
hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução 
processual penal;
XIII – é livre o exercício de qualquer trabalho, ofício ou profissão, atendidas as 
qualificações profissionais que a lei estabelecer;
XIV – é assegurado a todos o acesso à informação e resguardado o sigilo da fonte, 
quando necessário ao exercício profissional;
XV – é livre a locomoção no território nacional em tempo de paz, podendo 
qualquer pessoa, nos termos da lei, nele entrar, permanecer ou dele sair com seus bens;
XVI – todos podem reunir-se pacificamente, sem armas, em locais abertos ao 
público, independentemente de autorização, desde que não frustrem outra reunião 
13Dos Direitos e Garantias Fundamentais

anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à 
autoridade competente;
XVII – é plena a liberdade de associação para fins lícitos, vedada a de caráter 
paramilitar;
XVIII – a criação de associações e, na forma da lei, a de cooperativas independem 
de autorização, sendo vedada a interferência estatal em seu funcionamento;
XIX – as associações só poderão ser compulsoriamente dissolvidas ou ter suas 
atividades suspensas por decisão judicial, exigindo-se, no primeiro caso, o trânsito em 
julgado;
XX – ninguém poderá ser compelido a associar-se ou a permanecer associado;
XXI – as entidades associativas, quando expressamente autorizadas, têm legitimi-
dade para representar seus filiados judicial ou extrajudicialmente;
XXII – é garantido o direito de propriedade;
XXIII – a propriedade atenderá a sua função social;
XXIV – a lei estabelecerá o procedimento para desapropriação por necessidade 
ou utilidade pública, ou por interesse social, mediante justa e prévia indenização em 
dinheiro, ressalvados os casos previstos nesta Constituição;
XXV – no caso de iminente perigo público, a autoridade competente poderá usar de 
propriedade particular, assegurada ao proprietário indenização ulterior, se houver dano;
XXVI – a pequena propriedade rural, assim definida em lei, desde que trabalhada 
pela família, não será objeto de penhora para pagamento de débitos decorrentes de sua 
atividade produtiva, dispondo a lei sobre os meios de financiar o seu desenvolvimento;
XXVII – aos autores pertence o direito exclusivo de utilização, publicação ou 
reprodução de suas obras, transmissível aos herdeiros pelo tempo que a lei fixar;
XXVIII – são assegurados, nos termos da lei:
a) a proteção às participações individuais em obras coletivas e à reprodução da 
imagem e voz humanas, inclusive nas atividades desportivas;
b) o direito de fiscalização do aproveitamento econômico das obras que criarem 
ou de que participarem aos criadores, aos intérpretes e às respectivas repre -
sentações sindicais e associativas;
XXIX – a lei assegurará aos autores de inventos industriais privilégio temporário 
para sua utilização, bem como proteção às criações industriais, à propriedade das marcas, 
aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e 
o desenvolvimento tecnológico e econômico do País;
XXX – é garantido o direito de herança;
XXXI – a sucessão de bens de estrangeiros situados no País será regulada pela lei 
brasileira em benefício do cônjuge ou dos filhos brasileiros, sempre que não lhes seja 
mais favorável a lei pessoal do de cujus;
XXXII – o Estado promoverá, na forma da lei, a defesa do consumidor;
XXXIII – todos têm direito a receber dos órgãos públicos informações de seu 
interesse particular, ou de interesse coletivo ou geral, que serão prestadas no prazo da 
lei, sob pena de responsabilidade, ressalvadas aquelas cujo sigilo seja imprescindível à 
segurança da sociedade e do Estado;
XXXIV – são a todos assegurados, independentemente do pagamento de taxas:
Constituição da República Federativa do Brasil
14

a) o direito de petição aos Poderes Públicos em defesa de direitos ou contra 
ilegalidade ou abuso de poder;
b) a obtenção de certidões em repartições públicas, para defesa de direitos e 
esclarecimento de situações de interesse pessoal;
XXXV – a lei não excluirá da apreciação do Poder Judiciário lesão ou ameaça a 
direito;
XXXVI – a lei não prejudicará o direito adquirido, o ato jurídico perfeito e a coisa 
julgada;
XXXVII – não haverá juízo ou tribunal de exceção;
XXXVIII – é reconhecida a instituição do júri, com a organização que lhe der a 
lei, assegurados:
a) a plenitude de defesa;
b) o sigilo das votações;
c) a soberania dos veredictos;
d) a competência para o julgamento dos crimes dolosos contra a vida;
XXXIX – não há crime sem lei anterior que o defina, nem pena sem prévia co -
minação legal;
XL – a lei penal não retroagirá, salvo para beneficiar o réu;
XLI – a lei punirá qualquer discriminação atentatória dos direitos e liberdades 
fundamentais;
XLII – a prática do racismo constitui crime inafiançável e imprescritível, sujeito 
à pena de reclusão, nos termos da lei;
XLIII – a lei considerará crimes inafiançáveis e insuscetíveis de graça ou anistia 
a prática da tortura, o tráfico ilícito de entorpecentes e drogas afins, o terrorismo e os 
definidos como crimes hediondos, por eles respondendo os mandantes, os executores 
e os que, podendo evitá-los, se omitirem;
XLIV – constitui crime inafiançável e imprescritível a ação de grupos armados, 
civis ou militares, contra a ordem constitucional e o Estado Democrático;
XLV – nenhuma pena passará da pessoa do condenado, podendo a obrigação de 
reparar o dano e a decretação do perdimento de bens ser, nos termos da lei, estendidas 
aos sucessores e contra eles executadas, até o limite do valor do patrimônio transferido;
XLVI – a lei regulará a individualização da pena e adotará, entre outras, as se -
guintes:
a) privação ou restrição da liberdade;
b) perda de bens;
c) multa;
d) prestação social alternativa;
e) suspensão ou interdição de direitos;
XLVII – não haverá penas:
a) de morte, salvo em caso de guerra declarada, nos termos do art"
Art. 5,"Complete a ideia do Art. 5: o Todos são iguais perante a lei, sem distinção de...","o Todos são iguais perante a lei, sem distinção de qualquer natureza, garantin-
do-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito 
à vida, à liberdade, à igualda..."
