Quais são os cinco fundamentos da República Federativa do Brasil expressos no Art. 1º?,"Soberania, cidadania, dignidade da pessoa humana, valores sociais do trabalho e da livre iniciativa, e pluralismo político."
"Segundo o parágrafo único do Art. 1º, de onde emana todo o poder?","Do povo, que o exerce por meio de representantes eleitos ou diretamente."
"Quais são os Poderes da União, independentes e harmônicos entre si?","O Legislativo, o Executivo e o Judiciário."
Qual é o objetivo fundamental da República que trata da redução de desigualdades?,Erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais.
O princípio da prevalência dos direitos humanos rege o Brasil em suas _____.,Relações internacionais
"No Art. 5º, qual é a condição para que brasileiros e estrangeiros tenham o direito à propriedade garantido?",A propriedade deve atender a sua função social.
"É livre a manifestação do pensamento, sendo vedado o _____.",Anonimato
Sob quais condições é permitida a entrada na casa de um indivíduo sem seu consentimento durante a noite?,"Em caso de flagrante delito, desastre ou para prestar socorro."
A lei não excluirá da apreciação do _____ lesão ou ameaça a direito.,Poder Judiciário
"Quais são as três garantias que a lei não pode prejudicar (Art. 5º, XXXVI)?","O direito adquirido, o ato jurídico perfeito e a coisa julgada."
A prática do racismo constitui crime _____.,"Inafiançável e imprescritível, sujeito à pena de reclusão."
"Quais crimes são considerados inafiançáveis e insuscetíveis de graça ou anistia pelo Art. 5º, XLIII?","Tortura, tráfico ilícito de entorpecentes, terrorismo e os crimes hediondos."
É permitida a pena de morte no Brasil?,"Não, salvo em caso de guerra declarada."
Qual remédio constitucional é concedido para proteger direito líquido e certo não amparado por habeas corpus ou habeas data?,Mandado de segurança
O _____ é concedido sempre que a falta de norma regulamentadora torne inviável o exercício de direitos constitucionais.,Mandado de injunção
Qual é a finalidade do Habeas Data?,Assegurar o conhecimento de informações relativas à pessoa do impetrante ou para a retificação de dados em registros públicos.
Quem é parte legítima para propor ação popular visando anular ato lesivo ao patrimônio público?,Qualquer cidadão.
As normas definidoras dos direitos e garantias fundamentais têm aplicação _____.,Imediata
